web-scraper-order,web-scraper-start-url,link,link-href,brand-name
"1647877149-1939","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/studio-dennis-parren","Studio Dennis Parren"
"1647877099-1917","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/canndle","Canndle"
"1647877136-1933","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/zaya-jewellery","Zaya Jewellery"
"1647878259-2422","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/polyhedra","Polyhedra"
"1647877788-2216","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/liefs-jansje","Liefs Jansje"
"1647878903-2703","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/no-sugar-daddies","No Sugar Daddies"
"1647878501-2525","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/la-maddalena","La Maddalena - Amsterdam"
"1647878771-2644","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/eco-warehouse","Eco warehouse"
"1647878174-2384","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/be-o-lifestyle","BE O Lifestyle"
"1647877657-2158","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/peek-a-beau","Peek-a-Beau"
"1647878952-2725","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/zusje-van","Zusje-van"
"1647877469-2076","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/blue-monday-coffee","Blue Monday Coffee"
"1647879019-2755","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/cella-berlin","Cella Berlin"
"1647877634-2148","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/monsieur-barbier-nl","Monsieur Barbier"
"1647877023-1884","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/opscala","Hills & Field"
"1647878625-2580","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/lumilamp","Lumi Lamp"
"1647877299-2005","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/kruselings","Kruselings"
"1647878262-2423","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/season-blend","Season Blend"
"1647878652-2592","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/guardini","Guardini"
"1647878596-2567","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/binki","Binki"
"1647878548-2546","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/nieuwerwets-niko-niko","niko niko"
"1647879214-2842","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/kraek-1559568248307713","KRAEK"
"1647877399-2045","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/pole-to-pole","Pole To Pole"
"1647878433-2495","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/tolhuijs","Tolhuijs"
"1647876930-1843","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/glossworks","Glossworks"
"1647878156-2376","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/sidedish","Sidedish"
