,Unnamed: 0,brandName,instagramLinks,instagramFollowers,facebookLinks,facebookFollowers,web-scraper-order,web-scraper-start-url,link,link-href,Unnamed: 0,websites,Unnamed: 0,crm
91,91,byBoosz,https://instagram.com/byboosz,1.9 K,https://facebook.com/byboosz,77,1648216253-1603,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/byboosz,91,www.byboosz.nl,91,U
92,92,Sompex / Villeroy & Boch Lights,https://instagram.com/sompexgmbh,2.5 K,x,x,1648216253-1732,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/sompex,92,www.sompex.de,92,U
93,93,Brût Homeware,https://instagram.com/bruthomeware,4.8 K,https://facebook.com/Bruthomeware,3.1 K,1648216253-454,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/brut,93,linktr.ee/Bruthomeware,93,S
94,94,Soilmates,https://instagram.com/we.are.soilmates,1.0 K,https://facebook.com/SoilmatesHealthyOil,109,1648216253-839,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/soilmates-bv,94,linktr.ee/we.are.soilmates,94,S
95,95,LIV 'N TASTE,https://instagram.com/livntaste,263,x,x,1648216253-700,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/liv-n-taste,95,error loading websitis,95,website could not be loaded
96,96,Seemly,https://instagram.com/instagram.com/seemly.nl,1.1 K,https://facebook.com/seemly.nl,567,1648216253-1523,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/seemly,96,error loading websitis,96,website could not be loaded
97,97,Woodiful,https://instagram.com/woodiful.official,337,x,x,1648216253-501,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/woodiful,97,www.woodiful.com,97,U
98,98,Hape,https://instagram.com/hapetoysfan,350,x,x,1648216253-1068,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/edugro-bv,98,www.hape.com,98,U
99,99,INDI&ME,https://instagram.com/indi_me.nl,2.2 K,x,x,1648216253-495,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/indime,99,www.indi-me.nl,99,S
100,100,Urban Cotton,https://instagram.com/urbancottonamsterdam,7.0 K,https://facebook.com/urbancottonamsterdam,11.2 K,1648216253-1775,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/urban-cotton,100,www.urbancotton.nl,100,W
101,101,The High Five Company,https://instagram.com/thehighfivecompany,3.3 K,https://facebook.com/thehighfivecompany,996,1648216253-1052,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/the-high-five-company,101,www.thehighfivecompany.com/zotter-spring-easter,101,W
102,102,Figuretta,x,x,x,x,1648216253-1898,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/figuretta,102,error loading websitis,102,website could not be loaded
103,103,Doenya,https://instagram.com/doenya_fashion,64,https://facebook.com/DoenyaFashion,328,1648216253-465,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/doendoe-bv-doenya,103,www.doenya.com,103,S
104,104,Pinkiezz Stainless Steel Ball Lockets,x,x,x,x,1648216253-456,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/pinkiezz-ball-lockets,104,error loading websitis,104,website could not be loaded
105,105,Olly's,https://instagram.com/ollys.ollys,21.5 K,https://facebook.com/ollysollysollys,4.6 K,1648216253-1171,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/ollys,105,linktr.ee/ollysollys,105,S
106,106,Wean Green,https://instagram.com/weangreen,13.0 K,https://facebook.com/weangreen,14.6 K,1648216253-1513,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/wean-green,106,linkin.bio/weangreen,106,S
107,107,My Paperstories,https://instagram.com/mypaperstories,954,x,x,1648216253-1542,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/studio-spring,107,www.mypaperstories.com,107,U
108,108,Healthy Natural Products - Solutions Cosmeceuticals,x,x,x,x,1648216253-1521,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/healthy-natural-products,108,error loading websitis,108,website could not be loaded
109,109,Art of Private Shaking,https://instagram.com/apsnederland,2.1 K,https://facebook.com/aps.nederland,1.7 K,1648216253-446,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/art-of-private-shaking,109,linkin.bio/apsnederland,109,S
