,Unnamed: 0,websites,Unnamed: 0,handles,Unnamed: 0,followers,Unnamed: 0,crm
119,119,www.yoursnaturally.nl,119,@yoursnaturallynl,119,344 followers,119,W
120,120,www.eenblikvolontwikkeling.nl,120,@eenblikvolontwikkeling,120,221 followers,120,W
121,121,www.farzinkavaji.com,121,@farzinkavaji,121,"2,815 followers",121,U
122,122,error loading websitis,122,@www.instagram.com,122,error loading followers,122,website could not be loaded
123,123,www.allthingswelike.com/allthingswelike.com/product-category/jewelry-2/pins,123,@all_things_we_like,123,"3,173 followers",123,W
124,124,linktr.ee/travelfy.art,124,@travelfy.art,124,29 followers,124,S
125,125,www.en-anne.com,125,@andannehello,125,16.3k followers,125,W
126,126,error loading websitis,126,@www.instagram.com,126,error loading followers,126,website could not be loaded
127,127,linkin.bio/xapron-nl,127,@xapron.nl,127,"3,475 followers",127,S
128,128,www.eufrasiajewels.nl,128,@eufrasiajewels,128,535 followers,128,W
129,129,vunacoffeerituals.com,129,@vunacoffeerituals,129,"1,285 followers",129,S
130,130,www.hardicraft.com/extra,130,@hardicraft,130,"1,552 followers",130,W
131,131,www.eljefeprimosalsa.com,131,@eljefeprimosalsa,131,"1,131 followers",131,S
132,132,error loading websitis,132,no handle found,132,error loading followers,132,website could not be loaded
133,133,www.elevaterope.com,133,@geraldo.alken,133,86.1k followers,133,W
134,134,www.riqueza.eu,134,@riqueza_cosmetics,134,528 followers,134,W
135,135,error loading websitis,135,@www.instagram.com,135,error loading followers,135,website could not be loaded
136,136,martitascreation.bigcartel.com,136,@martitascreation,136,540 followers,136,U
137,137,www.bee-zonder.com/instagram,137,@beezonder,137,"1,814 followers",137,S
138,138,www.tooday.nl,138,@tooday_nl,138,204 followers,138,W
139,139,woodenamsterdam.com,139,@wooden_amsterdam,139,12k followers,139,W
140,140,www.hektikboutique.com,140,@hektikcc,140,"1,759 followers",140,S
141,141,error loading websitis,141,@www.instagram.com,141,error loading followers,141,website could not be loaded
142,142,happinesz.com,142,@happinesz2,142,19.9k followers,142,S
143,143,www.bellabarkley.com,143,@bella_barkley_collars,143,"2,557 followers",143,U
144,144,error loading websitis,144,no handle found,144,error loading followers,144,website could not be loaded
